iter	Passed	Remaining
0	0	714
1	1	657
2	1	618
3	2	618
4	3	656
5	4	667
6	4	649
7	5	638
8	5	628
9	6	618
10	6	613
11	7	608
12	7	605
13	8	605
14	9	606
15	9	603
16	10	602
17	10	596
18	11	591
19	12	589
20	12	587
21	13	587
22	13	587
23	14	589
24	15	589
25	15	588
26	16	586
27	16	584
28	17	583
29	17	581
30	18	579
31	19	578
32	19	578
33	20	577
34	20	578
35	21	578
36	22	576
37	22	576
38	23	575
39	23	573
40	24	571
41	25	572
42	25	570
43	26	570
44	26	572
45	27	571
46	28	571
47	28	570
48	29	570
49	29	569
50	30	568
51	31	569
52	31	568
53	32	566
54	32	565
55	33	565
56	34	564
57	34	562
58	35	561
59	35	559
60	36	558
61	36	557
62	37	556
63	37	555
64	38	553
65	39	554
66	39	554
67	40	553
68	40	551
69	41	550
70	42	550
71	42	548
72	43	548
73	43	547
74	44	547
75	45	547
76	45	546
77	46	548
78	47	548
79	47	546
80	48	546
81	48	545
82	49	541
83	49	541
84	50	540
85	50	539
86	51	538
87	51	537
88	52	537
89	53	536
90	53	536
91	54	535
92	54	534
93	55	533
94	55	533
95	56	532
96	57	532
97	57	531
98	58	530
99	58	529
100	59	528
101	59	527
102	60	526
103	60	525
104	61	524
105	62	523
106	62	522
107	63	520
108	63	519
109	64	519
110	64	518
111	65	517
112	65	516
113	66	515
114	66	514
115	67	513
116	67	511
117	68	510
118	68	509
119	69	507
120	69	506
121	70	505
122	70	504
123	71	503
124	71	502
125	72	501
126	72	499
127	73	498
128	73	497
129	74	496
130	74	495
131	75	494
132	75	493
133	76	492
134	76	491
135	77	491
136	77	490
137	78	489
138	78	488
139	79	487
140	79	486
141	80	484
142	80	483
143	81	482
144	81	481
145	82	480
146	82	479
147	83	478
148	83	477
149	84	477
150	84	476
151	85	475
152	85	474
153	86	474
154	86	473
155	87	472
156	87	472
157	88	471
158	89	471
159	89	470
160	90	469
161	90	468
162	90	467
163	91	466
164	91	465
165	92	464
166	92	463
167	93	462
168	93	461
169	94	461
170	94	460
171	95	459
172	96	458
173	96	458
174	97	457
175	97	456
176	98	455
177	98	454
178	98	453
179	99	453
180	100	452
181	100	452
182	101	451
183	101	450
184	102	450
185	102	449
186	103	448
187	103	447
188	104	447
189	104	446
190	105	445
191	105	444
192	106	443
193	106	442
194	107	441
195	107	441
196	108	440
197	108	439
198	109	438
199	109	438
200	109	437
201	110	436
202	111	435
203	111	435
204	111	434
205	112	433
206	113	434
207	113	433
208	114	433
209	114	432
210	115	431
211	115	431
212	116	430
213	116	429
214	117	428
215	117	428
216	118	427
217	118	426
218	119	425
219	119	425
220	120	424
221	120	423
222	121	423
223	121	422
224	122	421
225	122	420
226	123	420
227	123	419
228	124	418
229	124	418
230	125	417
231	125	416
232	126	415
233	126	415
234	127	414
235	128	414
236	128	413
237	129	413
238	129	412
239	130	411
240	130	411
241	131	410
242	131	409
243	131	408
244	132	408
245	133	407
246	133	407
247	133	406
248	134	405
249	134	404
250	135	404
251	135	403
252	136	402
253	136	402
254	137	401
255	137	400
256	138	400
257	139	399
258	139	399
259	140	398
260	140	398
261	141	397
262	141	396
263	142	396
264	142	395
265	142	394
266	143	393
267	143	393
268	144	392
269	144	391
270	145	391
271	145	390
272	146	390
273	146	389
274	147	388
275	147	388
276	148	387
277	148	386
278	149	386
279	149	385
280	150	384
281	150	384
282	151	383
283	151	383
284	152	382
285	153	382
286	153	381
287	153	380
288	154	380
289	154	379
290	155	379
291	156	378
292	156	377
293	157	377
294	157	376
295	158	376
296	158	375
297	159	375
298	159	374
299	160	373
300	160	373
301	161	372
302	161	371
303	162	371
304	162	370
305	163	370
306	163	369
307	164	369
308	164	368
309	165	368
310	165	367
311	166	366
312	166	366
313	167	365
314	167	364
315	168	364
316	168	363
317	169	363
318	169	362
319	170	362
320	170	361
321	171	361
322	171	360
323	172	359
324	172	359
325	173	358
326	173	357
327	174	357
328	174	356
329	175	356
330	175	355
331	176	354
332	176	354
333	177	353
334	177	353
335	178	352
336	178	352
337	179	351
338	179	350
339	180	350
340	180	349
341	181	348
342	181	348
343	182	347
344	182	347
345	183	346
346	183	346
347	184	345
348	184	344
349	185	344
350	185	343
351	186	342
352	186	342
353	187	341
354	187	341
355	188	340
356	188	339
357	189	339
358	189	338
359	190	338
360	190	337
361	191	336
362	191	336
363	192	335
364	192	335
365	193	334
366	193	334
367	194	333
368	194	332
369	195	332
370	195	331
371	196	331
372	196	330
373	197	330
374	197	329
375	198	328
376	198	328
377	199	327
378	199	327
379	200	326
380	200	326
381	201	325
382	201	324
383	202	324
384	202	323
385	203	323
386	203	322
387	204	322
388	204	321
389	205	320
390	205	320
391	206	319
392	206	319
393	207	318
394	207	317
395	208	317
396	208	317
397	209	316
398	209	315
399	210	315
400	210	314
401	211	314
402	211	313
403	212	313
404	212	312
405	213	311
406	213	311
407	214	310
408	214	310
409	215	309
410	215	309
411	216	308
412	216	307
413	217	307
414	217	306
415	218	306
416	218	305
417	219	305
418	219	304
419	220	303
420	220	303
421	221	302
422	221	302
423	222	301
424	222	301
425	223	300
426	223	300
427	224	299
428	224	298
429	225	298
430	225	297
431	226	297
432	226	296
433	227	296
434	227	295
435	228	295
436	228	294
437	229	293
438	229	293
439	229	292
440	230	292
441	230	291
442	231	290
443	231	290
444	232	289
445	232	289
446	233	288
447	234	288
448	234	287
449	234	287
450	235	286
451	235	286
452	236	285
453	236	284
454	237	284
455	238	283
456	238	283
457	238	282
458	239	282
459	240	281
460	240	281
461	241	280
462	241	280
463	242	279
464	242	279
465	243	278
466	243	278
467	244	277
468	244	276
469	245	276
470	245	275
471	246	275
472	246	274
473	247	274
474	247	273
475	248	273
476	248	272
477	249	272
478	249	271
479	250	270
480	250	270
481	251	269
482	251	269
483	252	268
484	252	268
485	253	267
486	253	267
487	254	267
488	255	266
489	255	266
490	256	265
491	256	265
492	257	264
493	257	263
494	258	263
495	258	262
496	259	262
497	259	261
498	260	261
499	260	260
500	261	260
501	261	259
502	262	259
503	262	258
504	263	258
505	263	257
506	264	256
507	264	256
508	265	255
509	265	255
510	266	255
511	267	254
512	267	254
513	268	253
514	268	252
515	269	252
516	269	251
517	270	251
518	270	250
519	271	250
520	271	249
521	272	249
522	272	248
523	273	248
524	273	247
525	274	247
526	274	246
527	275	245
528	275	245
529	276	244
530	276	244
531	277	243
532	277	243
533	278	242
534	278	242
535	279	241
536	279	241
537	280	240
538	280	239
539	281	239
540	281	238
541	282	238
542	282	237
543	283	237
544	283	236
545	284	236
546	284	235
547	285	235
548	285	234
549	286	234
550	286	233
551	287	232
552	287	232
553	287	231
554	288	231
555	288	230
556	289	230
557	290	229
558	290	229
559	291	228
560	291	228
561	292	227
562	292	227
563	293	226
564	293	226
565	294	225
566	294	224
567	295	224
568	295	223
569	296	223
570	296	222
571	297	222
572	297	221
573	298	221
574	298	220
575	299	220
576	299	219
577	300	219
578	300	218
579	301	217
580	301	217
581	301	216
582	302	216
583	303	215
